GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12
LOC130067346	6.53	4.85	3.6	7.19	7.26	4.63	6.79	6.79	5.14	8.53	4	3.53
LINC02525	2.43	6.01	8.15	1.03	4.21	6.72	2.8	6.26	6.69	4.09	1.46	6.38
LOC127268170	5.79	5.95	8.31	2.71	5.82	6.31	2.63	8.16	5.12	5.95	3.13	3.72
ATP11B	3.57	5.76	5.35	6.05	1.03	7.18	7.11	3.83	4.77	7.46	5.35	7.36
LOC127456850	5.51	3.93	2.08	3.36	5.58	7.4	6.13	6.6	4.33	6.99	2.4	4.96
LOC127274883	3.67	2.75	4.02	4.01	5.57	6.8	3.01	9.71	3.19	5.09	5.82	3.11
LOC127268589	4.06	1.97	7.1	7.49	5.77	5.7	7.66	1.22	4.77	3.98	5.88	4.21
LOC111875816	8.18	4.18	8.88	5.21	7.19	5.11	6.81	6.58	2.56	6.13	3.58	5.5
LOC129935273	6.2	6.23	4.97	5.08	3.28	5.25	8.15	7.38	7.64	6.23	5.43	5.05
LOC127399528	1.14	4.57	3.86	4.56	7.52	5.65	2.82	5.88	5.37	3.51	6.11	1.98
LOC129998349	5.23	2.83	5.55	2.12	3.27	3.38	6.88	6.03	1.54	2.17	2.93	7.35
LOC105378617	4.19	8.88	5.26	1.61	2.06	3.93	5.18	3.64	2.71	6.01	1.5	4.82
SGCEP1	2.95	6.26	3.36	4.61	8.97	4.1	1.56	3.68	6.26	4.96	6.23	1.87
SCAF11	5.38	8.5	6.07	5.64	6.47	4.06	3.48	3.15	0.89	3.65	7.17	6.15
LOC127818982	5.23	7.18	7.5	2.63	6.37	4.49	6.33	1.91	6.23	5.01	8.65	4.14
LOC127821504	4.41	3.9	5.02	1.75	6.14	4.9	6.38	5.78	5.54	6.81	5.82	6.21
TMEM26-AS1	8.55	4.26	6.13	7.3	4.62	3.57	2.35	5.2	3.71	5.51	2.26	6.17
E2F2	0.95	2.41	5.45	5.91	6.82	0.98	5.02	4.95	3.96	4.64	3.03	1.92
LOC130066581	6.51	6.33	5.83	5.87	7.58	8.63	1.64	5.28	2.66	3.73	4.16	6.08
LOC121587602	4.48	7.92	4.62	6.65	2.19	3.53	6.59	4.26	2.87	5.09	6.47	4.03
LOC129931299	6.18	3.34	7.16	6	2.94	6.84	5.89	8.19	4.32	4.56	5.58	4.28
LOC128316747	4.18	2.84	5.42	3.1	3.7	3.89	8.14	5.64	2.36	5.06	4.67	5.02
LOC129998814	3.93	6.59	4.09	7.25	5.95	5.9	4.53	4.96	4.47	6.47	3.32	5.43
PTGER4P2	1.92	2.27	6.13	2.7	0.78	4.75	5.9	3.09	3.99	6.86	6.31	4.8
LOC122819159	4.62	8.46	6.72	4.14	4.72	6.08	3.76	3.23	5.28	2.47	6.59	6.33
REL	9.46	6.03	4.87	5.6	2.39	1.67	3.23	3.65	5.91	5.98	6.76	2.53
RPL34P21	6.78	1.91	0.18	5.51	4.38	5.43	6.77	5.85	5.47	4.32	2.57	4.01
LOC127830204	8.02	5.64	7.95	6.06	2.11	4.73	6.66	6.65	6.11	6.1	6.59	5.48
LOC126861629	6.65	5.19	3.65	6.58	7.11	7.5	5.6	3.98	5.29	1.12	2.72	5.09
LOC126805810	7.06	0.56	4.37	3.54	4.5	4.4	5.82	3.49	3.85	9.62	5.76	7.6
LOC127398431	6.63	4.92	7.91	2.68	4.65	4.3	5.57	3.69	4.58	4.93	7.11	5.05
LOC127814737	5.86	3.94	1.58	2.9	7.69	1.69	5.74	3.05	7.45	4.62	3.82	7.12
LOC130062529	3.95	3.4	3.01	6.03	3.44	5.3	5.34	5.2	7.87	5.49	6.62	1.99
UCN2	4.04	5.43	3.65	4.17	2.22	6.11	2.63	7.2	5.82	3.39	4.27	4.9
PHKA1P1	2.12	6.53	2.64	5.74	3.89	4.58	1.4	0.31	3.12	5.05	5.56	5.13
LINC02272	4.99	8.11	6.99	7.13	3.83	3.95	2.63	4.86	5.59	5.78	9.06	3.1
LOC130007102	6.62	0.26	7.28	3.79	5.63	5.65	7.24	7.36	7.19	4.4	4.86	7.84
GXYLT1P4	6.86	6.34	5.9	6.66	4.43	2.85	2.98	3.58	3.02	6.66	3.62	3.89
LOC129999771	5.17	3.29	4.21	3.84	2.46	5.57	6.08	4.81	7.01	4.16	4.26	5.92
RPL23AP54	4.01	7.08	4.24	6.11	4.67	6.82	6.44	6.43	2.23	6.05	4.27	6.82
LOC646870	10.92	5.62	3.98	5.06	6.07	4.7	5.33	5.66	4.63	4.52	6.38	8.38
FAM216B	6.33	7.6	4.06	3.47	2.58	4.3	5.58	5.59	7.41	1.79	2.86	5.9
LOC127268528	7.56	2.33	5.87	6.71	6.8	4.37	6.17	0.88	5.06	5.56	3.87	4.24
LOC129934579	4.39	5.89	6.64	6.3	6.27	5.87	7.85	4.26	6.23	5.21	6.46	0.47
LOC129995530	4.93	5.53	4.18	3.44	7.7	2.71	5	4.66	4.79	6.35	5.23	5.13
LOC105371824	5.81	6.89	5.57	5.07	4.41	3.48	4.44	6.91	3.58	7.91	9.45	4.33
LOC130009770	8.02	4.58	0.71	9.54	5.76	2.31	3.88	5.57	7.37	5.06	5.44	6.54
LOC130067187	4.44	7.06	5.14	3.65	3.43	4.52	6.69	6.36	5.63	7.22	3.78	7.72
LOC126653314	6.54	4.2	3.42	4.7	4.54	4.93	5.18	6.54	4.12	5.07	3.25	2.08
LOC125146437	1.23	4.23	6.98	7.53	3.1	5.15	6.96	2.39	2.73	4.08	7.27	5.25
TAS2R22P	4.09	5.05	7.13	3	6.94	4.7	2.57	5.98	5.56	4.14	3.59	3.25
LOC127894082	2.67	3.08	1.05	9.28	2.39	1.71	4.18	5.91	4.29	6.75	5.27	6.98
LOC127820040	7	4.18	6.66	3.8	6.11	2.7	4.55	2.68	6.3	5.07	3.85	5.01
LOC127822541	4.7	7	3.98	4.06	3.77	4.47	5.91	1.24	6.8	6.38	7.13	5.88
LOC127819176	4.3	7.97	4.7	4.93	3.11	5.5	6.18	5.44	8.33	5.2	6.24	4.39
TEKT4P3	7.46	7.01	6.62	6.93	7.63	5.34	4.61	5.82	5.01	3.3	5.18	7.58
LOC127814988	7.01	4.24	6.24	10.82	5.19	3.11	5.41	3.75	5.29	5.22	7.65	2.5
LOC127895484	3.38	5.57	3.53	5.87	5.6	6.84	2.92	6.84	4.29	3.36	2.2	7
LOC127820196	5.77	5.18	5.58	6.12	5.35	5.08	8.66	2.54	3.72	1.36	4.76	8.76
LOC127268761	2.79	2.73	4.16	2.53	6.17	4.37	4.53	8.49	0.75	3.39	2.63	6.39
LOC127889698	4.14	5.46	7.25	5.25	7.65	5.48	4.82	6.11	2.83	2.35	5.42	4.67
LOC125316792	7.91	3.52	2.17	0.75	5.11	6.54	4.36	7.68	6.15	2.84	6.57	4.32
LOC105378302	7.61	3.09	6.48	4.54	7.2	6.08	3.21	6.47	7.96	3.69	5.65	4.71
LOC129992792	7	6.31	7.5	7.63	0.77	4.29	6.56	5.62	2.5	6.43	3.46	5.14
LOC127896993	3.97	3.73	0.3	4.64	6.13	2.87	1.73	5.71	6.34	4.25	4.4	5.68
MIR12128	1.61	4.74	6.17	4.9	5.76	6.55	4.43	7.31	4.22	4.16	4	7.85
IFNA8	2.88	3.25	4.35	5.07	5.33	3.12	5.22	7.01	6.42	2.99	4.2	5.74
LOC129994927	6.71	5.1	5.2	4.78	5.23	3.76	2.36	5.45	8.14	4.73	4.63	5.53
ZNF831	4.48	5.89	4.51	5.18	4.18	7.06	6.92	8.69	3.27	6.72	6.31	5.79
EDEM1	1.11	5.9	6.25	2.28	3.88	4.05	4.13	3.1	1.25	6.4	3.16	7.24
LOC126807489	4.68	3.06	6.67	4.13	6.97	4.54	6.19	2.65	4.46	6.36	4.18	7.05
LOC127406002	7.54	7.26	6.07	4.39	4.66	5.85	1.73	9.43	6.24	5.82	7.56	3.98
LOC127816061	6.16	7.69	4.81	6.03	7.13	7.4	4.5	3.57	6.71	2.86	6.46	5.21
LOC130009645	3.52	5.67	4.24	5.37	4.3	3.23	5.12	7.86	5.88	5.48	6.49	4.5
MYRIP	2.22	5.28	4.75	3.63	3.18	6.34	2.57	6.48	4.76	3.9	7.37	3.61
LOC132090659	3.51	5.14	4.59	6.53	7.6	4.95	6.66	4.23	10.52	4.67	5.5	4.18
LCTL	5.06	5.46	5.37	7.21	4.82	7.56	5.49	5.03	6.73	7.1	6.68	5.11
LOC126862884	6.6	5.68	3.52	2.7	7.19	6.73	4.83	4.28	4.31	5.14	4.04	1.83
LOC130058828	1.51	5.25	6.05	5.33	2.78	4.92	5.32	5.18	5.32	5.71	2.95	5.2
RNU6-1251P	6.84	6.18	3.2	3.65	5.64	3.64	4.9	4.11	6.45	5.82	3.29	1.86
LOC130061532	5.01	4.4	2.33	3.91	4.43	2.66	6.21	3.07	5.82	5.96	3.59	4.99
LINC00352	6.03	7.03	5.46	5.76	8.52	3.18	5.33	6.24	4.96	3.07	2.17	3.71
LOC127893791	2.02	4.93	5.75	6.52	7.35	4.2	7.77	4.47	5.34	5.69	6.87	3.88
LOC130001980	3.8	1.84	6.85	5.68	6.01	2.83	4.25	4.66	5.86	6.51	3.76	3.62
LOC100421842	4.19	4.82	6.31	4.04	4.09	4.74	6.57	4.37	3.94	3.25	1.82	3.45
LOC127272497	6.88	5.8	5.4	7.03	6.77	4.04	5.25	5.62	4.54	4.07	3.05	6.72
LOC127891853	6.85	7.21	6.24	6.86	6.3	8.56	8.89	3.24	6.43	1.3	2.9	4.17
LOC130065382	5.78	5.11	3.24	3.22	2.4	6.98	5.05	5.6	4.24	5.5	1.56	5.09
LOC105373714	7.89	1.51	2.95	5.56	7.14	5.91	5.23	4.07	6.14	4.77	5.77	6.78
LOC130060682	4.07	5.01	2.81	2.91	6.54	3.99	4.37	4.59	2.99	2.97	5.42	5.3
LOC126861652	6.82	2.84	5.08	7.64	4.66	8.63	1.24	4.11	6.64	4.17	1.8	5.17
LOC126806762	4.94	3.24	6.19	5.49	9.16	4.5	1.45	5.11	7.28	2.43	7.9	3.1
LOC130066467	3.8	3.15	6.63	6.92	6.72	4.93	4.76	5.79	4.18	6.6	3.77	6.38
LOC124902741	6.66	3.56	7.67	5.7	4.07	1.53	5.17	3.45	2.15	3.62	4.11	7.47
MIR577	7.49	7.05	5.59	4.81	6.68	6.97	3.76	3.97	5.55	5.95	4.15	5.91
LOC126806967	6.58	3.5	4.77	6.35	5.74	4.9	6.11	4.77	5.44	4.52	0.37	4.28
LOC127273966	4.08	4.21	3.81	3.01	4.69	3.17	7.45	2.12	2.2	5.79	5.57	6.27
LOC129930528	4.15	5.33	5.46	2.42	0.1	4.99	8.08	4.78	6.08	3.84	4.64	0.42
LOC128772391	7.48	6.6	4.88	3.86	4.22	6.94	1.08	7.97	1.34	6.61	4.4	3.83
LOC127891987	5.64	3.8	4.41	5.47	5.04	5.15	6.46	4.35	3.62	4.84	6.26	5.14
LOC127886643	6.49	3.51	3.78	4.26	6.3	5.55	6.7	4.93	7.97	5.83	5.57	8.73
LOC127893123	4.39	4.07	3.19	4.16	5.63	6.91	6.25	3.02	6.41	5.85	3.84	2.92
LOC129992128	7.27	2.89	3.23	6.66	5.41	3.35	7.03	4.4	5.19	6.34	4.43	3.69
LOC129993680	3.54	6.66	7.64	4.1	7.72	4.55	4.73	5.93	0.1	5.13	2.13	4.09
LOC127898294	6.13	1.07	5.45	6.75	4.9	6.24	4.48	6.41	5.15	5.77	10.12	4.1
OSBPL2	3.53	4.05	4.23	3.61	3.1	2.49	6.83	5.29	3.08	4	3.09	5.4
SLEB12	0.57	2.41	2.16	4.54	4.09	7.16	3.78	4.58	5.07	1.09	3.72	5.74
LOC127269199	2.58	1.48	5.35	3.51	4.67	3.06	6.61	2.88	5.23	6.69	7.95	4.07
LINC01320	5.25	5.05	4.1	4.23	3.97	5.48	3.56	4.98	5.82	5.13	5.61	5.18
LOC127821580	6.59	7.77	4.85	2.91	1.64	5.32	3.94	5.56	4.45	3.54	2.6	5.21
LOC128772219	1.85	7.94	4.63	5.8	6.07	3.93	3.74	4.32	4.73	3.35	5.89	3.24
LOC127399806	2.75	3.99	6.4	7.13	6.42	5.39	6.59	6.7	4.12	4.89	3.86	2.42
ARMT1	8.18	3.75	4.88	5.51	3.67	4.65	4.89	5.41	5.23	1.61	4.56	5.4
NBPF13P	4.22	4.03	4.68	8.08	5.79	6.61	5.97	3.28	3.83	7.28	6.63	4.8
LOC130063615	5.91	6.28	9.27	2.05	4.43	2.58	9.28	4.34	6.09	4.58	3.18	4.77
LOC127397055	4.05	0.39	6.96	3.65	4.47	7.34	3.21	3.86	3.28	5.15	3.4	7.89
LOC101060445	4.46	5.45	5.23	5.94	6.09	4.54	7.39	2.72	2.64	5.77	5.1	6.84
LOC127827907	5.16	4.27	3.68	6.14	5.75	3.66	6.12	2.96	4.84	2.02	2.67	5.88
LOC127402745	5.02	3.66	7.12	5.59	3.95	3.09	5.03	4.37	4.18	7.94	4.95	2.47
AIMP1P1	4.65	1.39	3.32	8.14	3.68	6.94	2.87	3.66	5.81	8.1	2.2	3.28
LOC127400287	4.15	4.63	4.91	8.02	5.98	2.23	10.12	5.27	2.25	2.17	3.61	7.62
ZNF710	0.1	2.03	6.53	2.37	3.2	5.25	2.01	1.56	5.47	2.72	8.52	7.27
LOC127404659	8.36	4.97	4.26	4.25	3.73	3.93	3.62	2.54	6.76	5.56	6.02	2.28
LOC127822659	8.22	3.39	4.34	2.42	7.49	3.62	7.03	7.47	3.39	6.32	4.73	6.49
LOC130006254	3.02	5.08	5.79	3.14	5.29	4.71	2.2	4.36	6.4	0.25	2.91	3.55
LOC130061193	4.7	5.83	5.25	5.45	4.2	5.11	5.79	5.46	6.49	9.59	6.43	7.75
LOC127272432	7.48	4.09	4.55	5.63	2.88	4.34	2.18	6.44	6.06	3.29	3.08	4.73
LOC127401272	6.8	3.16	4.62	3.6	6.29	3.65	5.82	4.87	3.02	4.55	4.08	5.93
TMPOP2	7.3	3.9	5.45	5.54	4	6.31	8.92	7.21	4.44	4.93	3.08	7.43
LOC127407045	3.07	3.8	5.84	3.69	5.17	6.19	5.36	6.47	5.58	4.28	3.84	7.06
LOC127407358	9.64	2.31	7.33	5.45	7.14	7.97	5.87	8.68	2.41	3.86	6.47	4.85
MIR4776-1	2.96	3.59	4.25	5.2	4.6	3.22	6.31	6.62	3.48	5.1	3.87	7.12
MR1P1	6.36	4.65	7.37	4.49	6.86	3.19	3.57	8.47	5.87	7.56	7.68	3.86
LOC130056399	5.25	4.6	2.36	3.27	2.94	3.53	3.27	5.06	6.93	7.41	5.42	5.56
LOC129998377	4.27	5.59	3.84	4.16	1.83	2.93	4.04	2.92	5.59	2.56	4.99	4.02
LOC124906341	4.32	7.33	2.56	5.88	5.59	8.57	5.64	6.93	4.11	4.12	2.63	5.73
LOC124900675	3.22	5.6	5.56	4.11	7.14	0.48	3.07	4.45	3.86	8.14	5.6	2.63
LOC127269662	7.92	7.66	5.76	4.41	4.05	2.46	4.86	5.87	8.47	7.79	4.83	6.08
LOC127267488	5.16	3.83	2.54	3.07	4.54	3.63	6.44	8.14	4.39	3.16	6.16	7.23
LOC129934845	5.47	7.43	5.09	4.22	6.67	4.57	4.01	6.44	6.25	8.35	3.26	7.3
LOC127818669	5.38	6.07	3.36	4.96	4.18	4.73	4.9	2.3	2.97	3.23	8.03	4.76
LOC125418071	4.32	2.85	5.89	3.69	2.98	6.83	5.31	7.72	3.19	3.87	5.64	9.25
LOC130001044	2.96	5.72	2.2	4.31	3.51	7.31	2.1	6.33	4.28	5.36	3.31	3.98
LOC127827611	5.46	2.77	6.56	3.02	4.69	3.13	4.7	4.82	5.64	4.66	5.11	5.62
LOC102723313	1.23	6.71	4.92	6.35	2.21	5.41	2.83	3.79	6.56	1.63	5.18	2.62
IFITM3P7	2.45	4.03	3.14	8.98	6.46	1.96	4.54	4.93	5.02	2.79	5.58	5.65
GAPDH	2.1	3	1.5	4.2	5.1	2.8	3.5	4.8	1.9	5.5	2.4	3.9
LOC127891026	3.06	3.78	4.52	5.84	6.52	3.43	6.13	0.97	4.82	0.43	6.53	2.35
LOC129995681	5.19	3.47	4.34	7.85	7.78	5.8	3.4	3.6	5.62	5.8	3.31	5.07
LOC127894289	7.88	8.06	2.3	4.31	6.78	3.21	2.83	4.94	2.41	2.44	4.07	5.57
LOC127897600	2.27	6.79	3.95	4.3	7.61	5.03	8.2	2.79	5.1	4.72	5.94	5.89
LOC130058858	5.78	6.22	4.69	6.17	4.37	4.99	1.55	0.98	4.63	4.93	4.24	5.35
LOC127459578	6.62	5.13	2.33	3.29	7.09	3.07	3	6.06	4.67	7.26	4.69	3.69
LOC105378458	3.22	6.33	5.54	4.69	2.57	5.68	4.42	3.6	3.88	4.15	3.47	2.53
RN7SKP85	4.9	6.19	7.47	4	6.1	10.9	4.87	5.08	8.11	4.02	3.5	7.66
LOC127406134	6.48	7.89	6.41	3.26	7.98	5.04	3.87	0.66	3.49	6.52	6.09	4.43
LOC121853016	4.54	6.53	3.56	5.76	8.7	4.25	2.56	6.43	4.49	4.28	6.76	7.23
LOC130007504	4.6	4.63	3.82	4.75	5.52	4.07	4.83	3.35	3.49	5.88	2.92	1.41
LOC127826123	5.55	4.61	4.16	8.91	6.38	4.35	2.69	7.17	4.51	6.85	3.72	8.64
LOC127408711	4.89	4.16	6.09	0.1	3.06	5.3	4.1	5.12	5.85	3.66	3.83	3.06
LOC129390550	4	4.35	4.93	6.16	2.24	3.43	5.76	5.38	0.99	6.35	1.94	4.5
LOC129931148	4.75	4.57	3.3	3.52	4.98	7.74	6.85	5.54	4.67	4.34	4.61	6.44
LOC124905020	8.39	7.2	2.28	4.48	5.53	6.08	6.98	4.81	4.47	5.86	5.43	5.46
LINC00560	6.57	0.81	6.01	3.04	4.76	6.66	6.64	6.17	2.94	4.24	4.92	3.7
LOC130001230	3.35	3.74	3.12	6.04	3.56	7.49	4.5	8.44	4.71	7.95	4.42	0.75
LOC130062963	2.76	4.76	5.89	7.44	2.8	3.04	1.84	5.56	5.48	6.81	6.15	5.07
LOC130001423	4.35	2.69	5.13	5.88	6.69	3.31	2.19	4.77	5.46	4.65	9.93	3.41
KLB	7.39	7.91	6.3	3.36	6.81	5.59	6.23	4.62	4.09	0.26	0.82	0.1
STK11IP	5.53	4.58	6.97	7.91	4.71	4.14	0.88	2.85	9.16	7.32	1.84	4.26
NAMPTP1	3.74	2.99	2.44	4.71	8.03	5.92	6.34	5.32	4.41	4.67	5.48	5.73
LOC123230412	6.59	3.4	6.84	5.32	5.03	4.87	5.04	2.46	2.12	2.6	7.67	3.85
LOC127397989	4.76	6.57	6.24	4.91	6.76	6.27	8.45	3.03	4.01	5.21	2.19	4.95
LOC130003479	2.98	8.36	4.45	4.61	3.79	2.11	4.98	7.55	6.73	5.04	4.81	5.71
LOC132089109	5.83	4.78	4.96	5.15	6.09	6.26	1.14	2.24	3.65	4.17	7.22	1.84
LOC127275947	7.74	5.19	5.88	3.15	6.19	1.68	6.48	8.84	4.88	6.85	6.59	7.27
LOC110806264	5.78	3.29	6.19	7.08	5.52	4.97	6.97	6.26	4.28	3.49	5.2	4.86
LOC129660387	5.35	7.37	1.91	6.16	6.96	5.85	4.26	8.18	3.77	5.33	5.07	10.02
PSMG3	3.82	6.3	7.63	5.14	4.76	3.57	4.47	5.81	7.37	2.74	6.1	7.22
LOC127893860	6.02	0.81	2.47	6.7	1.39	7.7	5.73	4.66	1.66	5.68	4.61	8.31
TTC14	3.07	3.84	1.25	2.8	4.39	5.39	5.46	8.04	4.96	5.57	7.98	4.47
LOC127397436	2.02	4.58	6.72	6.95	6.37	2.1	4.97	5.04	4.69	2.33	4	3.98
LOC102724210	4.92	3.01	2.28	5.38	1.63	7.81	5.1	4.24	7.58	4.34	3.78	5.79
LOC129660421	4.94	4.51	4.6	5.91	1.91	5.56	8.57	3.96	4.89	6.24	6.71	5.36
LOC112163665	9.26	2.96	2.58	4.18	5.04	4.5	6.98	4.02	6.86	7.16	5.74	2.41
PHB2	2.81	5.65	1.77	3.59	5.22	6.3	8.69	5.81	5.43	5.98	7.35	6.66
LOC130003162	5.31	5.6	4.2	4.02	7.19	2.75	4.27	5.71	3.49	4.37	1.19	6.07
LOC127407823	6.45	6.46	6.16	6.87	4.89	5	4.26	5.12	5.68	8.96	4.75	5.68
RNU6-352P	6.89	5.75	5.57	6.96	5.91	5.51	4.44	1.71	3.01	4.16	4.27	4.94
LOC129390705	4.98	7.87	3.84	7.8	5.49	0.1	6.3	2.99	2.86	2.92	4.33	3.74
GLP2R	3.66	4.3	4.97	4.89	6.34	4.26	8.21	0.92	7.18	3.8	6.86	3.31
LOC129935847	4.88	1.12	4.82	3.64	6.65	3.76	5.76	2.8	5.38	7.42	2.47	3.27
LOC113174973	8.49	5.05	4.96	7.65	2.6	5.64	4.43	8.33	2.15	4.28	5.23	0.76
LOC127818995	5.87	6.17	4.2	2.21	3.77	7	5.55	7.74	3.9	5.95	7.05	8.45
LOC124900401	1.32	4.28	5.65	4.71	6.65	5.27	4.4	3.69	6.1	7.95	6.26	6.91
MIR548AA1	7.56	7.52	3.05	6.09	1.1	3.56	4.66	7.25	5.5	4.39	1.72	3.28
LOC130061812	5.97	6.97	5.68	2.91	0.38	4.86	3.26	4.75	4.2	3.82	4.08	4.77
LOC127405652	4.94	5.97	4.39	2.19	5.25	3.18	5.26	4.68	3.3	4.12	3.24	4.46
LOC127891752	4.97	5.13	4.4	5.88	5.06	3.18	4.24	6.9	4.52	10.04	3.33	4.53
LOC126863093	4.73	4.01	6.27	7.92	4.37	0.49	3.17	4.77	6.63	3.6	3.44	4.59
LOC129999011	5.46	4.68	4.23	3.71	6.53	4.53	5.02	7.18	3.98	5.58	6.29	6.24
ST13P22	4.09	5.84	3.23	3.76	7.15	6.06	5.87	5.53	6.73	6.59	3.12	4.71
LOC127818050	5.5	6.74	2.83	3.31	6.79	5.49	4.72	3.23	6.18	2.96	6.44	5.5
INHBA-AS1	3.32	4.47	6.2	7.67	4.68	3.11	4.54	5.73	4.53	5.76	5.05	6.33
LOC127400268	5.36	3.69	0.8	3.73	4.95	4.16	4.58	4.93	1.72	6.72	2.84	5.84
ASB12	6.99	9.46	4.25	3.49	5.55	7.04	6.78	4.07	3.51	4.97	5.45	4.79
LOC127891866	5.92	5.93	5.33	3.55	1.17	6.33	6.31	4.63	6.18	3.56	7.05	5.73
LOC130056891	6.86	3.37	2.53	3.94	3.19	5.97	4.95	5.02	8.27	4.65	5.65	0.69
LOC127404906	3.04	6.68	5.01	3.92	6.43	4.42	3.36	6.13	6.5	5.66	6.74	4.09
LOC127889172	5.1	5.11	6.21	6.09	5.44	4.91	5.09	5.13	3.22	4.09	5.68	7.68
LOC130065997	6.11	6.49	1.72	5.54	2.66	2.99	2.72	5.38	5.42	6.25	5.23	5.56
LOC129662653	3.08	5.09	3.4	5.85	7.32	5.07	6.97	2.71	4.3	4.55	1.14	7.6
LOC130002068	7.82	4.89	8.17	3.87	5.88	5.73	5.67	4.66	3.99	3.82	6.81	4.41
ZIM2-AS1	3.14	5.16	3.82	6.3	3.92	5.1	7.68	4.81	3.03	7.7	2.2	3.18
LOC126805959	5.3	5.74	3.26	0.1	5.02	5.39	6.96	4.35	3.62	2.39	2.53	3.31
CTSA	5.27	3.9	3.46	7.03	5.12	0.67	5.83	4.27	6.51	5.58	5.87	5.09
LOC132090313	5.22	3.82	4.22	5.36	4.46	5.52	4.16	5.02	8.39	4.53	5.75	2.63
LOC124292580	4.62	4.67	5.33	4.27	4.67	4.41	4.79	5	6.16	4.81	5.59	7.16
LOC105378129	5.81	5.31	3.73	5.86	4.73	2.73	2.86	5.86	2.89	4.82	8.03	5.49
LOC130001321	3.14	4.43	5.36	2.8	6.19	4.46	4.64	7.59	3.73	3.53	6.72	4.4
LOC130005053	2.68	5.57	6.26	3.86	6.8	5.34	7.09	4.61	8.8	3.86	3.92	7.26
LOC110121493	3.82	3.02	5.61	5.2	5.99	3.28	5.3	4.52	4.17	4.08	3.04	5.43
LOC127821497	4.9	2.42	6.35	2.19	8.14	5.04	5.29	8.8	3.58	6.7	7.75	4.46
LOC127269627	7.26	8.41	3.56	4.93	6.12	2.88	4.22	4.26	4.17	6.75	4.52	1.89
LOC127407442	7.86	5.72	4.78	4.93	5.58	3.05	7.38	4	9.31	6.39	4.96	2.51
LOC129998705	5.58	4.29	6.2	4.5	6.51	8.27	5.95	5.92	5.64	6.66	7.19	4.07
LOC130064826	5.69	4.5	5.1	2.67	4.76	6.39	3.47	4.75	4.48	8.96	4.29	4.21
ZNF485	4.56	6.41	5.38	7.1	6.32	2.16	5.52	5.87	6.96	9.98	4.24	5.43
LOC127820005	5.09	4.62	5.09	2.33	8.61	4.57	6.99	6.39	2.49	4.19	3.62	2.73
LOC130001509	2.47	5.35	5.33	2.34	4.63	5.24	4.53	10.03	4.79	1.89	6.36	1.98
LOC129996074	5.52	4.52	4.96	3.95	6.86	4.45	5.07	7.21	6.26	5.98	3.46	3.72
LOC127826802	4.04	4.1	3.02	7.79	5.04	6.97	4.37	6.7	2.98	3.68	1.12	7.56
LOC127407825	5.6	6.08	5.31	5.19	3.65	9.07	7.31	5.55	4.13	5.67	3.07	3.74
LOC127895640	4.38	5.25	4.18	5.47	7.04	3.96	5.21	4.28	5.76	2.94	4.79	5.33
PUS3	3.81	7.34	7.58	4.61	5.83	6.52	9.73	5.09	2.5	5.9	3.3	4.83
LOC127896166	4.61	2.97	4.05	5.49	4.43	7.01	1.44	3.14	1.36	2.81	5.51	3.76
LOC127268255	4.34	4.76	5.27	6.14	8.17	5.73	4.92	6.46	4.48	8.49	5.56	3.17
GNAL	6.97	4.62	1.45	6.27	1.66	5.85	6.6	6.14	8.66	3.35	2.1	3.75
LOC127273699	5.38	3.07	3.81	7.47	4.89	7.21	4.54	7.31	3.57	7.02	4.54	2.94
LOC127274971	5.78	6.8	3.51	3.6	4.62	5.22	8.72	3.2	2.51	3.32	6.63	6.55
LOC127396587	2.77	4.81	7.22	4.72	4.76	1.44	4.98	4.53	4.78	5.72	5.7	4.97
LOC127403593	7.69	2.51	4.73	5.74	5.22	5.81	3.14	3.25	7.22	4.19	5.19	5.26
JAKMIP1-DT	5.29	3.93	5.26	6.49	8.35	2.68	4.21	4.62	3.31	6.22	1.78	4.86
LOC101929343	3.46	3.01	5.54	4.4	1.26	3.9	4.59	5.38	6.11	7.41	5.25	4.58
LOC129389079	5.56	6.87	4.04	6.17	6.87	4.57	5.19	6.49	4.49	8.13	7.5	5.35
LOC129999261	6.57	9.58	5.54	4.01	3.63	1.18	5.29	5.54	1.46	5.42	7.26	5.15
TANC1	2.51	3.79	7.71	4.39	6.7	4.67	7.68	3.88	4.89	3.01	4.16	4.25
LOC127886163	8.04	4.83	6.11	6.82	4.19	6.6	3.77	4.84	5.62	3.66	6.64	7.16
ACTB	2.3	3.2	1.7	4.5	5.3	3	3.7	5	2.1	3.2	2.6	4.1
LOC130003370	7.02	9.88	3.5	5.4	4.6	2.32	4.98	5.73	5.23	5.23	7.53	4.45
LOC127890729	5.13	0.81	5.32	6.67	3.9	4.46	2.92	6.03	3.44	4.22	6.47	5.04
LOC127402593	4.4	4.07	5.53	4.38	2.79	3.97	5.37	2.75	3.75	5.92	2.46	4.94
LOC107985815	1.7	2.83	3.82	6.12	3.2	5.56	5.51	6.38	4.75	2.45	6.37	5.83
LOC129996250	3.02	4.59	5.21	3.73	4.35	3.88	2.84	6.68	7.38	4.25	1.31	6.89
LOC126806764	4.93	4.5	8.55	5.31	4.93	3.74	2.75	6.17	2.57	3.52	7.02	3.02
